id,latitude,longitude,alphanumeric_code,alphanumeric_code_alt
ben1,40.652549,-105.540533,D70C9FAF,
Ben10,40.652793,-105.539466,C178DEB4,
Ben11,40.649366,-105.541171,CED404F8,
Ben12,40.650287,-105.539632,D3FC3780,
ben2,40.651573,-105.540887,F9C61C73,
ben3,40.650124,-105.541927,EE8448CE,
ben4,40.650329,-105.542323,F7860854,
Ben5,40.654281,-105.537949,ECEC71FE,
Ben6,40.654232,-105.537887,DB41B7B9,
Ben7,40.654206,-105.537745,D960CB85,
Ben8,40.652842,-105.539629,F415DE5C,
Ben9,40.652813,-105.539559,EF071C2F,
bennett_parking,40.656262,-105.535947,NA,
blue1,40.583134,-105.854509,,
blue2,40.587989,-105.854704,CF28DA67,F5D762A1
blue3,40.600414,-105.8695,E6393EED,
blue4,40.606398,-105.891256,CF0FD011,
blue5,40.621497,-105.90726,C56399E7,CFF0CCC0
dadd1,40.697142,-105.540293,D046CACE,FE4A0A46
dadd2,40.684343,-105.547256,E32E7F34,F31A4D43
dadd3,40.682968,-105.556541,E6129EDF,D111B346
dadd4,40.673024,-105.56453,E341DE47,
dry1,40.704853,-105.634486,EC073F9E,
dry2,40.707267,-105.634849,C594B561,
dry3,40.711385,-105.63546,F5778BEA,
dry4,40.716096,-105.63523,CFAA5275,
mef1,39.098702,-105.087518,FDC97C75,
mef10,39.098144,-105.021168,E1097B72,
mef11,39.100785,-105.023747,D9BBAA50,
mef12,39.097629,-105.08823,DA8D74D7,
mef2,39.091402,-105.06856,C09F6006,
mef3,39.09578667,-105.0547505,C94D8207,
mef4,39.093325,-105.027326,FD81E27D,
mef5,39.090013,-105.054036,E6129EDF,
mef6,39.089358,-105.053987,F709FE3B,
mef7,39.088027,-105.044622,C4AA9E2F,
mef8,39.08813,-105.044498,DC9DCF9F,
mef9,39.088154,-105.044515,FC748B54,
rs1,35.882627,-106.549509,,
rs2,35.880735,-106.549137,,
rs3,35.879948,-106.545584,,
rs4,35.88046,-106.544929,,
rs5,35.880745,-106.544781,,
vg01,35.854328,-106.493675,,
vg02,35.854361,-106.495061,FE6E5A25,
vg03,35.857676,-106.497282,C11EE039,
vg04,35.856269,-106.514148,E346AF86,
vg05,35.865657,-106.516585,C18630E8,
vg06,35.870993,-106.527958,CB4698F1,
vg07,35.871476,-106.527608,D7812C77,
vg08,35.874756,-106.535738,D8CED4EB,
vg09,35.874442,-106.536051,,
vg10,35.874318,-106.536042,CB78DBD8,
vg11,35.841576,-106.500565,E60EFD43,
vg12,35.836682,-106.50148,D105EA86,
vg13,35.835463,-106.504096,EC8707C6,
vg14,35.843086,-106.473773,D0F5CFB1,
vg15,35.837461,-106.46273,C89585E4,
vg16,35.870679,-106.528459,ED363284,
pr11,40.520957,-105.891729,C8ABC3F3,
pr10,40.562649,-105.867338,C87585D4,
pr09,40.580844,-105.853486,FF06918A,
pr08,40.612845,-105.826983,F2EE1E7B,
pr07,40.651399,-105.810201,E112CA53,
pr06,40.710475,-105.726787,CCEFA6C6,
pr05,40.70262,-105.63297,FD5DAC03,
pr04,40.680315,-105.481967,C6A4B29E,
pr03,40.682988,-105.434161,F5E530EF,
pr02,40.693818,-105.328969,F999CB52,
pr01,40.691999,-105.241183,C6FBF30D,
mef13,39.10346,-105.03323,F9A227FE,
mef14,39.09872,-105.05924,C907CBBE,
mef15,39.09836,-105.06024,EC8707C6,
mef16,39.0985,-105.05884,EF44B690,
mef17,39.09943,-105.05992,EB3DB7AD,
mef18,39.09913,-105.05886,F908B422,
mef19,39.09021,-105.07593,C89585E4,
mef20,39.09055,-105.0759,CB78DBD8,
mef21,39.08607,-105.04941,C11EE039,
mef22,39.087,-105.05373,DB01D208,
mef23,39.08769,-105.05388,C56399E7,
mef24,39.08483,-105.04239,EDB7CBF4,
mef25,39.08598,-105.04263,D7816C77,
mef26,39.10049,-105.10217,,
mef27,39.09702,-105.0887,ED739F7D,
