Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,temperatureCalibration,humidityCalibration,pressureCalibration,dewpointCalibration
mef5,E6129EDF,Tue Jul 25 2023 10:58:14 GMT-0600 (Mountain Daylight Time),Not set,3600,976,0,0,Celsius,0,0,0,0
index,date,temperature,humidity,dewpoint,pressure
0,Wed Jun 14 2023 19:58:14 GMT-0600 (Mountain Daylight Time),20.8,39.4,6.6,745.5
1,Wed Jun 14 2023 20:58:14 GMT-0600 (Mountain Daylight Time),0.8,43,-10.4,745
2,Wed Jun 14 2023 21:58:14 GMT-0600 (Mountain Daylight Time),3.3,32.9,-11.5,744.5
3,Wed Jun 14 2023 22:58:14 GMT-0600 (Mountain Daylight Time),4.3,28.3,-12.5,743.9
4,Wed Jun 14 2023 23:58:14 GMT-0600 (Mountain Daylight Time),5.9,24,-13.2,743.4
5,Thu Jun 15 2023 00:58:14 GMT-0600 (Mountain Daylight Time),6.5,18.7,-15.7,743.4
6,Thu Jun 15 2023 01:58:14 GMT-0600 (Mountain Daylight Time),5.5,22.5,-14.3,743.4
7,Thu Jun 15 2023 02:58:14 GMT-0600 (Mountain Daylight Time),-1.3,42.3,-12.5,743.5
8,Thu Jun 15 2023 03:58:14 GMT-0600 (Mountain Daylight Time),-5.6,62.5,-11.6,743.6
9,Thu Jun 15 2023 04:58:14 GMT-0600 (Mountain Daylight Time),-7.6,69,-12.3,744
10,Thu Jun 15 2023 05:58:14 GMT-0600 (Mountain Daylight Time),-9.4,73.2,-13.3,744.2
11,Thu Jun 15 2023 06:58:14 GMT-0600 (Mountain Daylight Time),-11.1,75.9,-14.5,744.2
12,Thu Jun 15 2023 07:58:14 GMT-0600 (Mountain Daylight Time),-12.2,76.9,-15.4,743.8
13,Thu Jun 15 2023 08:58:14 GMT-0600 (Mountain Daylight Time),-13.8,79.5,-16.6,743.3
