Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,temperatureCalibration,humidityCalibration,pressureCalibration,dewpointCalibration
Vg 5,C18630E8,Wed Dec 14 2022 14:40:46 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0,0
index,date,temperature,humidity,dewpoint,pressure
0,Thu Oct 13 2022 03:55:46 GMT-0600 (Mountain Daylight Time),-0.7,62.1,-7.1,744.5
1,Thu Oct 13 2022 04:10:46 GMT-0600 (Mountain Daylight Time),-1.9,68.1,-7.0,744.4
2,Thu Oct 13 2022 04:25:46 GMT-0600 (Mountain Daylight Time),-0.8,63.7,-6.8,744.2
3,Thu Oct 13 2022 04:40:46 GMT-0600 (Mountain Daylight Time),-3.0,70.1,-7.7,744.3
4,Thu Oct 13 2022 04:55:46 GMT-0600 (Mountain Daylight Time),-3.4,74.4,-7.3,744.2
5,Thu Oct 13 2022 05:10:46 GMT-0600 (Mountain Daylight Time),-3.2,73.0,-7.4,744.1
6,Thu Oct 13 2022 05:25:46 GMT-0600 (Mountain Daylight Time),-1.4,68.1,-6.5,744.2
7,Thu Oct 13 2022 05:40:46 GMT-0600 (Mountain Daylight Time),-2.2,68.9,-7.1,744.2
8,Thu Oct 13 2022 05:55:46 GMT-0600 (Mountain Daylight Time),-3.1,72.4,-7.4,744.2
9,Thu Oct 13 2022 06:10:46 GMT-0600 (Mountain Daylight Time),-2.5,71.6,-6.9,744.2
10,Thu Oct 13 2022 06:25:46 GMT-0600 (Mountain Daylight Time),-3.7,74.2,-7.6,744.2
11,Thu Oct 13 2022 06:40:46 GMT-0600 (Mountain Daylight Time),-1.8,70.4,-6.5,744.2
12,Thu Oct 13 2022 06:55:46 GMT-0600 (Mountain Daylight Time),-3.2,70.3,-7.8,744.3
13,Thu Oct 13 2022 07:10:46 GMT-0600 (Mountain Daylight Time),-4.2,77.5,-7.6,744.4
14,Thu Oct 13 2022 07:25:46 GMT-0600 (Mountain Daylight Time),-3.6,76.9,-7.1,744.4
