Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,temperatureCalibration,humidityCalibration,pressureCalibration,dewpointCalibration
Rsad 2,D3A05997,Fri Aug 25 2023 14:09:40 GMT-0600 (Mountain Daylight Time),Not set,900,12357,0,0,Celsius,0,0,0,0
index,date,temperature,humidity,dewpoint,pressure
0,Tue Apr 18 2023 21:09:40 GMT-0600 (Mountain Daylight Time),-5.7,33.5,-19.3,696.9
1,Tue Apr 18 2023 21:24:40 GMT-0600 (Mountain Daylight Time),-4.6,32.3,-18.8,696.9
2,Tue Apr 18 2023 21:39:40 GMT-0600 (Mountain Daylight Time),-5.1,32.4,-19.2,696.9
3,Tue Apr 18 2023 21:54:40 GMT-0600 (Mountain Daylight Time),-5,32.7,-19,696.8
4,Tue Apr 18 2023 22:09:40 GMT-0600 (Mountain Daylight Time),-4.5,32.6,-18.6,696.7
5,Tue Apr 18 2023 22:24:40 GMT-0600 (Mountain Daylight Time),-3.8,31.3,-18.4,696.6
6,Tue Apr 18 2023 22:39:40 GMT-0600 (Mountain Daylight Time),-3.6,31.4,-18.2,696.5
7,Tue Apr 18 2023 22:54:40 GMT-0600 (Mountain Daylight Time),-4.1,32.6,-18.2,696.4
8,Tue Apr 18 2023 23:09:40 GMT-0600 (Mountain Daylight Time),-4.2,33.1,-18.1,696.5
9,Tue Apr 18 2023 23:24:40 GMT-0600 (Mountain Daylight Time),-4,32.8,-18,696.4
10,Tue Apr 18 2023 23:39:40 GMT-0600 (Mountain Daylight Time),-4.5,33.3,-18.3,696.4
11,Tue Apr 18 2023 23:54:40 GMT-0600 (Mountain Daylight Time),-4.5,33.7,-18.2,696.2
12,Wed Apr 19 2023 00:09:40 GMT-0600 (Mountain Daylight Time),-5.2,34.3,-18.6,696.3
13,Wed Apr 19 2023 00:24:40 GMT-0600 (Mountain Daylight Time),-5.7,36.1,-18.4,696.2
14,Wed Apr 19 2023 00:39:40 GMT-0600 (Mountain Daylight Time),-4.5,33.3,-18.3,696
15,Wed Apr 19 2023 00:54:40 GMT-0600 (Mountain Daylight Time),-4.6,33.9,-18.2,695.9
16,Wed Apr 19 2023 01:09:40 GMT-0600 (Mountain Daylight Time),-4.2,32.6,-18.3,696.1
17,Wed Apr 19 2023 01:24:40 GMT-0600 (Mountain Daylight Time),-4,31.3,-18.6,696
18,Wed Apr 19 2023 01:39:40 GMT-0600 (Mountain Daylight Time),-4.5,32.2,-18.7,695.8
19,Wed Apr 19 2023 01:54:40 GMT-0600 (Mountain Daylight Time),-3.5,28.8,-19.1,695.7
20,Wed Apr 19 2023 02:09:40 GMT-0600 (Mountain Daylight Time),-3.8,33.2,-17.7,695.5
21,Wed Apr 19 2023 02:24:40 GMT-0600 (Mountain Daylight Time),-4,34.1,-17.6,695.3
22,Wed Apr 19 2023 02:39:40 GMT-0600 (Mountain Daylight Time),-3.6,34.4,-17.1,695.2
