species,prevalence
Koeleria_macrantha,18
Pseudotsuga_menziesii,18
Achillea_millefolium,17
Carex_sp1,16
Arctostaphylos_uva_ursi,15
Juniperus_communis,15
Pinus_flexilis,14
Ribes_cereum,14
Solidago_missouriensis,13
Antennaria_microphylla,12
Muhlenbergia_montana,12
Geranium_caespitosum,10
Allium_cernuum,9
Heterotheca_foliosa,9
Jamesia_americana,9
Penstemon_sp1,9
Pinus_ponderosa,9
Populus_tremuloides,9
Rosa_woodsii,9
Thalictrum_fendleri,9
Elymus_elymoides,8
Geranium_richardsonii,8
Artemisia_ludoviciana,7
Campanula_rotundifolia,7
Eremogone_fendleri,7
Festuca_arizonica,7
Fragaria_vesca,7
Carex_geyeri,6
Galium_boreale,6
Holodiscus_discolor,6
Poa_fendleriana,6
Acer_glabrum,5
Androsace_septentrionalis,5
Boechera_pendulina,5
Erigeron_glabellus,5
Fragaria_virginiana,5
Mertensia_lanceolata,5
Potentilla_hippiana,5
Sedum_lanceolatum,5
Taraxacum_officinale,5
