term,estimate,std.error,statistic,p.value,response
(Intercept),-1.3099882782038699,2.5431373709173877,-0.5151071637672946,0.6093132237069707,Tmin
tdelta,-0.07951332058503645,0.18062320628514278,-0.4402165271029011,0.6621500223339942,Tmin
siteVC,0.33655480274168004,3.552697611759583,0.09473218368702956,0.925000530372548,Tmin
tdelta:siteVC,-0.2273698530913455,0.26734269334395405,-0.8504808949419057,0.4001201926554985,Tmin
(Intercept),3.820762148965657,0.335577207162737,11.38564261044342,4.0221357389337415e-14,VPDmin
tdelta,-0.187769107175884,0.023833958718510812,-7.878217353378723,1.1569735196241553e-9,VPDmin
siteVC,-2.119633706496987,0.4687927424140451,-4.521472955366048,5.362913855438808e-5,VPDmin
tdelta:siteVC,0.11234702717064186,0.03527694390939075,3.184715418070413,0.0028062316889439333,VPDmin
