var,r2,p,site,star
tmean,0.07822209175132908,0.4862,vall,
tmax,0.0918719670314693,0.4314,vall,
tmin,0.2646568946511345,0.0672,vall,
tdelta,0.5936534219713372,4e-4,vall,***
vmean,0.1097530757608374,0.3559,vall,
vmax,0.07573166941084088,0.5103,vall,
vmin,0.45855886951536884,0.0042,vall,**
vdelta,0.161010507182656,0.2046,vall,
rmean,0.5667432322603126,3e-4,vall,***
rmax,0.4469649709955427,0.0046,vall,**
rmin,0.3369500373963702,0.024,vall,*
rdelta,0.11002877762349052,0.3431,vall,
tc_aet,0.04049490466144103,0.6722,vall,
tc_def,0.055073624805479844,0.5903,vall,
tc_tmx,0.022752471813336738,0.8064,vall,
tc_tmin,0.45542518455904935,0.0051,vall,**
